date,rsi,wr,vwap,adtv,ao,sma_5d,sma_15d,sma_30d,adj_close_price
2018-12-28,35.88288957286173,-62.8945342571209,216.37650469613567,46939318.09090909,-21.924007352941203,153.422,161.806,171.1633333333333,154.61852989972
2018-12-27,35.78397686819601,-65.7347670250896,216.4165286829183,47062367.90909091,-22.97706617647063,153.54199999999997,163.03866666666667,172.3633333333333,153.138410842102
2018-12-26,36.44970616387739,-62.468960624334926,216.4686390495735,45721772.77272727,-22.471330882352987,154.49,164.408,173.6306666666666,153.059993938388
2018-12-24,22.957795790483857,-99.32960706594149,216.52679038532415,44473666.68181818,-21.124477941176536,156.27,166.25133333333332,175.20733333333328,154.059809460752
2018-12-21,24.80196772065527,-96.88473520249222,216.56690847478143,45867121.90909091,-19.609007352941205,159.692,168.36799999999997,177.2626666666666,143.92442465561
2018-12-20,28.07774177791191,-94.83805668016194,216.66361259059755,43420598.63636363,-18.88406617647061,162.642,170.2893333333333,179.23666666666662,147.747248711708
2018-12-19,30.573387146873003,-93.03675048355906,216.72381651043582,42154930.13636363,-18.17277205882357,165.46599999999998,171.89666666666665,180.80133333333333,153.726537619964
2018-12-18,34.1717685674045,-84.961728950923,216.76606244891383,42038180.31818182,-18.17262500000004,167.108,172.7866666666667,182.158,157.706195483491
2018-12-17,31.074277015668642,-94.55200360198106,216.79335714180357,43263609.36363637,-18.865919117647138,167.61999999999998,173.35666666666665,183.53833333333336,162.783689999027
2018-12-14,32.08794633006828,-90.0509023600186,216.82981872397664,43381564.54545455,-20.12868382352943,168.752,173.9133333333333,185.48100000000002,160.695839937619
2018-12-13,35.95655962595423,-64.73854696899592,216.86233445163552,43855737.63636363,-20.811713235294178,169.35399999999998,174.66666666666666,187.26033333333336,162.20536533413
2018-12-12,33.436268101597264,-73.29939842665439,216.88560624440962,43967915.95454545,-21.92503676470585,170.108,175.06866666666664,188.67200000000003,167.567121125632
2018-12-11,32.81252480331955,-75.47431744562708,216.9122002292744,43501323.31818182,-21.579664411764696,171.626,176.18599999999998,190.11,165.753730227226
2018-12-10,33.412546562162206,-77.09170624771653,216.94819795548128,42871449.18181818,-20.365870294117656,174.864,177.84599999999995,191.69899999999998,165.293030917901
2018-12-07,32.093050391727715,-99.28757569508241,216.99695481820456,41501307.68181818,-19.51995852941178,176.66,179.3,193.3723333333333,166.243835875444
2018-12-06,35.78918634661571,-81.95026204496244,217.0283881395251,42586854.86363637,-19.071752647058815,178.872,180.52066666666667,194.92566666666664,165.1558013364
2018-12-04,37.04181605133059,-73.97761994374633,217.05848956177624,44779138.68181818,-19.392987941176415,180.11600000000004,181.68800000000002,196.52599999999993,171.262517713193
2018-12-03,42.77964647120358,-45.9138187221397,217.0840056492434,45550906.77272727,-21.886519117646998,179.62600000000003,182.85333333333335,197.99133333333324,173.193533967171
2018-11-30,35.678638002089656,-71.8823927002365,217.1058198579515,45440040.0,-25.05331323529407,177.58599999999998,184.16333333333336,199.14099999999993,181.162651807191
